Starting job on bp1-gpu001
CUDA visible devices: 0
CUDA available: True
Epoch 0 | Train Acc: 10.10% | Test Acc: 10.17%
Epoch 1 | Loss: 0.4244 | Train Acc: 88.79% | Test Acc: 89.25%
Epoch 2 | Loss: 0.3171 | Train Acc: 90.89% | Test Acc: 91.33%
Epoch 3 | Loss: 0.2701 | Train Acc: 92.28% | Test Acc: 92.50%
Epoch 4 | Loss: 0.2428 | Train Acc: 93.09% | Test Acc: 93.10%
Epoch 5 | Loss: 0.2197 | Train Acc: 93.67% | Test Acc: 93.66%
Epoch 6 | Loss: 0.2009 | Train Acc: 94.30% | Test Acc: 94.24%
Epoch 7 | Loss: 0.1851 | Train Acc: 94.75% | Test Acc: 94.62%
Epoch 8 | Loss: 0.1716 | Train Acc: 95.19% | Test Acc: 94.90%
Epoch 9 | Loss: 0.1600 | Train Acc: 95.47% | Test Acc: 95.08%
Epoch 10 | Loss: 0.1495 | Train Acc: 95.83% | Test Acc: 95.35%
Epoch 11 | Loss: 0.1410 | Train Acc: 96.09% | Test Acc: 95.58%
Epoch 12 | Loss: 0.1337 | Train Acc: 96.31% | Test Acc: 95.73%
Epoch 13 | Loss: 0.1260 | Train Acc: 96.53% | Test Acc: 95.80%
Epoch 14 | Loss: 0.1193 | Train Acc: 96.77% | Test Acc: 95.98%
Epoch 15 | Loss: 0.1134 | Train Acc: 96.97% | Test Acc: 96.18%
Epoch 16 | Loss: 0.1081 | Train Acc: 97.07% | Test Acc: 96.16%
Epoch 17 | Loss: 0.1039 | Train Acc: 97.19% | Test Acc: 96.26%
Epoch 18 | Loss: 0.0984 | Train Acc: 97.39% | Test Acc: 96.37%
Epoch 19 | Loss: 0.0946 | Train Acc: 97.51% | Test Acc: 96.45%
Epoch 20 | Loss: 0.0917 | Train Acc: 97.63% | Test Acc: 96.54%
Epoch 21 | Loss: 0.0869 | Train Acc: 97.77% | Test Acc: 96.65%
Epoch 22 | Loss: 0.0836 | Train Acc: 97.86% | Test Acc: 96.74%
Epoch 23 | Loss: 0.0810 | Train Acc: 97.93% | Test Acc: 96.77%
Epoch 24 | Loss: 0.0780 | Train Acc: 98.01% | Test Acc: 96.86%
Epoch 25 | Loss: 0.0752 | Train Acc: 98.15% | Test Acc: 96.92%
Epoch 26 | Loss: 0.0722 | Train Acc: 98.15% | Test Acc: 96.90%
Epoch 27 | Loss: 0.0697 | Train Acc: 98.23% | Test Acc: 96.94%
Epoch 28 | Loss: 0.0678 | Train Acc: 98.29% | Test Acc: 96.94%
Epoch 29 | Loss: 0.0650 | Train Acc: 98.41% | Test Acc: 96.99%
Epoch 30 | Loss: 0.0631 | Train Acc: 98.47% | Test Acc: 97.10%
[MLP MNIST] Training time: 31.32 seconds

Epoch 0 | Train Acc: 5.37% | Test Acc: 5.08%
Epoch 1 | Loss: 0.2512 | Train Acc: 97.95% | Test Acc: 97.96%
Epoch 2 | Loss: 0.0669 | Train Acc: 98.23% | Test Acc: 98.27%
Epoch 3 | Loss: 0.0509 | Train Acc: 98.90% | Test Acc: 98.67%
Epoch 4 | Loss: 0.0433 | Train Acc: 98.86% | Test Acc: 98.67%
Epoch 5 | Loss: 0.0380 | Train Acc: 99.01% | Test Acc: 98.78%
Epoch 6 | Loss: 0.0338 | Train Acc: 98.85% | Test Acc: 98.46%
Epoch 7 | Loss: 0.0324 | Train Acc: 99.21% | Test Acc: 98.74%
Epoch 8 | Loss: 0.0299 | Train Acc: 99.34% | Test Acc: 98.79%
Epoch 9 | Loss: 0.0289 | Train Acc: 99.19% | Test Acc: 98.75%
